Score,Summary,Text
5,Kettle Chips,"We were very pleased to find that Kettle Chips were available on [...]. We really like the Sea Salt & Pepper chips but were unable to obtain a package larger than 5 ounces in the local stores, at a much higher price than at Amazon.com. While we would like to have the ability of getting a larger size bag, say 24-32 ounces, it was nice to be able to get the 9 ounce bag of chips. The price was very good and the free shipping was great!"
5,Great Side or Main Dish,"Here's a great bean dish that's a break from the ubiquitous canned bean products and yet not too exotic for those who cling to traditional American fare. The beans are firm and the sauce is thick and zesty with just a little bite to it. One package amounts to a side dish for two; two packages could make it a main course. As a bonus, the heated product exudes a pleasant, slightly flowery aroma, a pleasant reminder of Indian restaurants for those of us who live in neighborhoods not yet blessed with any."
5,herbs,"the herbs (five different kinds) arrived quickly, were well packed and are all in excellent condition. We're very satisfied"
5,Best dog food for Labs!,"This food was recommended due to chronic problems with skin disorders (as many Labs have).  Our lab has the thickest, shiniest coat I've ever seen, and not one skin issue ever!  I credit the AvoDerm food for that!"
1,yuk!,"After my husband, daughter, and I took our first bite of the Miracle noodles we all said the same thing ""this is disgusting!"". It all went into the garbage! No more miracle noodles for this family!"
5,Delicious sweet and spicy tea,"A few years ago I had this tea at a retreat and fell in love with its unique and multidimensional flavor. I was unable to find anywhere that sold this tea until recently, when I was thrilled to find it on Amazon. This is a very sweet tea - I always add sugar to tea and this one is sweet enough without any extra sugar. However, the sweetness is not overpowering as it also has a strong spice flavor. It smells amazing while brewing and tastes just as good. It makes excellent hot or iced tea, with or without milk/cream. If you are looking for something a little bit different to spice up your tea cabinet, this is the perfect choice for you!"
5,"Great cat food, great value",I adopted my cat from a shelter and this is the type of food they fed him and urged me to continue feeding him. He absolutely loves it and I won't be changing brands or food anytime soon. It seems to be a very high quality dry cat food and it's definitely one that my cat loves. The big bag of food is great especially if you have large Rubbermaid (etc) containers to store it in so it doesn't get stale. I'm very happy with this food and I'm very glad the shelter (and my vet) ended up recommending it. My cat is happy and I'm happy knowing he is being fed appropriately with high quality food that is helping him stay healthy.
5,Perfect treat Puzzle for Active dog!,"<span class=""tiny""> Length:: 1:04 Mins<br /><br /></span>Bella my two year old weimaraner really love this toy! everytime i take it out she wags her little tail like crazy. its simple and keeps her busy for the time.  Packaging was great! Perfect for that super active dog.<br /><br />Please see my video review as well!<br /><br />This is a Socialwriteup!"
5,Excellent quality food for your dog,"My vet has long recommended I switch to a brand like Wellness, and despite the fact that it's a bit pricey, I decided my dogs' health is worth it. The ingredients are much better than Purina One, which they'd been eating for years, and I feel good that I'm giving them one of the best foods out there. It's a plus that I can get it shipped in two days using Amazon Prime."
5,A++++++++,i just want to elev a review not all of this i got it it is what i wanted thank you
5,Edited review,"The first time I received the grains, they didn't grow at all. The second time I received them for free, they grew wonderfully.Thanks!"
5,Arrived cold in Alaska,This was very good and arrived all the way to Alaska in July still cool.  The packaging for shipping worked to keep it cold.  And this stuff is great!  Will do again.
4,FoodShouldTasteGood ~ and it does.,"Olive Tortilla chips, who would have thought? These chips have a Mediterranean attitude. You can taste the olives but not overwhelmingly. They are great with the usual salsa and sour cream just like any other tortilla chips but these you can try more exotic things like an Italian salsa (tomatos and Italian dressing).<br /><br />Other serious reasons to buy these chips:<br />-No GMOs (Genetically Modified Organisms; Basically you get all the plant chemistries God intended for your health, not the Monsanto Corporation.)<br />-Kosher Certified by the Union of Orthodox Jewish Congregations (For those who care about a holistic diet and raise everything to a spiritual level.)<br />-Certified Gluten-Free (I'm not sure who certifies this.)<br />-No Artificial Colors or Flavors<br />-No Preservatives (Except Sea Salt of course, 80mg per ounce.)<br />-No Cholesterol or Trans Fats"
4,Great but over priced.,"<span class=""tiny""> Length:: 0:33 Mins<br /><br /></span>Here is a preview of a more in depth review."
5,another kashi winner,"great cereal.  my 18 month old daughter likes these everyday for breakfast or as a trail mix with raisins, cherries and/or m&m's .  its a shame that they don't sell them in a smaller quantity though, 6 boxes takes up an awful lot of storage space."
3,Failed to blow me away,I love good coffee with rich flavor that doesn't hint of burnt beans. This coffee delivered in that it had an OK flavor without tasting burnt but a felt it was a little more acidic then I prefer. It wasn't a super smooth coffee but it wasn't bad for a quick cup. I don't think I'll be getting this again as I do prefer to grind my own beans but it was a nice change.
5,Great Gluten Free Snack,"Best afternoon snack ever! I put these in my bag in the AM on my way to school/work. Great source of protein, and the product is natural and gluten free! :)"
5,Fabulous tea,"We are major tea drinkers and this Stash Premium Organic Earl Grey tea is wonderful.  Great flavor, great price and added benefit of getting antioxidants.  A win/win for everyone!!! Highly recommended"
5,Still best the best around,"If you like flavored coffee, especially chocolate, you can't beat this product.  At times I'll try other brands but then always come back to this one."
3,flavor just okay,"Cookies look good, taste is almost non-existent. I vote for PAmela's Chocolate chunk cookies over these. Unfortunately, Pamela's cookies include only NINE in a package. Pricey."
4,If Jif Made Almond Butter,"Maranatha ""All Natural"" No Stir, Crunchy, Almond Butter<br /><br />This is a delicious product, with just enough crunch.<br /><br />Ingredients: Dry Roasted Almonds, Organic Unrefined Cane Sugar, Palm Oil, Sea Salt.<br /><br />Some comments:<br /><br />I believe ""All Natural"" is what Maranatha calls their slightly cheaper nut-butters whose ingredients don't all meet the Organic standard (if you care strongly about that).<br /><br />From the label: ""... Our unique process also means that you can spread our almond butter right after opening--no need to stir. ...""<br /><br />Actually, I believe the palm oil is just as important as the ""unique process"" in keeping the product homogeneous. The palm oil gives this version of Maranatha Almond Butter a creamy texture similar to regular peanut butters with partially hydrogenated vegetable oil. This ""no stir"" version may be a good choice for people who aren't willing to deal with nut-butters having an inch of separated nut oil on top. I took off a star in part because I don't believe people are expecting palm oil, which is very rich and not in the standard home kitchen, in a Maranatha product.<br /><br />That said, I bought a single jar in a retail shop. It did benefit from knife-stirring, as a bit of oil was visible on top (""use by"" date was 7 months away). No big deal.<br /><br />You have to love almond butter. I ate a jar in a week, and went back for more. I attribute this product's deliciousness to the added sugar & salt, roasted (not raw) almonds (it smells so good!), and the added palm oil. And the just-right crunchiness, of course."
4,It's not the taste but the size,"My boys all said the same thing, the flavor was good, but it was really the size of these mini-wheats that made them great.  The bite size was what gave this a 4 star rating.  The flavor was just a bonus"
5,The best,If you want a starter base you can add to or a quick pot of soup with spice and flavour do not think twice about Mrs. GRass.  I known of it as a kid - I'm 58 and it's just the best.
3,Disappointed with the taste,"I bought this through Amazon, and am tasting it for the first time.  Service through Amazon was fabulous.  But the taste of this canned food leaves much to be desired -- it is very bland and mushy.  I had to add lots of my own spices just to make it taste alright.  It's relatively healthy though, and the can doesn't have BPA which gets it the additional star.  I'll try some of the other Eden brands, hoping they are better tasting. But if you are looking for a quick relatively healthy meal, and have your own spices to add, then this can be a good pick."
4,"Mmmmm . . . . tiny pops, big flavor",At first I was a little disappointed in the overall size of the popped corn--small compared to the typical yellow variety I'm used to--but the flavor was excellent.  Almost every kernel popped(save for one or two per 1 qt. (popped) serving)!  I love this variety of popcorn and am SO glad to find it at a good price and availability.
3,"Good, but Maltitol is the second ingredient in these...","While these do taste quite good for darker chocolate, they don't quite compare to the typical 72% option. And the maltitol causes serious digestive issues to say the least. Why can't they use sucralose or stevia as the sweetener? I would be much more tempted to buy these again if they did."
5,Best  Tea ever,"I can't buy locally so amazon is my go to place.<br />This is my favorite tea ever, if you like licorice<br />flavored anything, you will really enjoy this tea.<br />No sweetener needed!"
5,Kalua Pork? Yes Please!,This feedback concerns Black Hawaiian Sea Salt and Hawaiian Red 'Alaea Sea Salt from the Spice Lab. We had come across a recipe for slow cooker Kalua Pork on a Wednesday and it recommended using these two kinds of salt. (My wife has a food porn problem and Pinterest is not helping.) We ordered the salt that afternoon with free Amazon Prime shipping and received them on Friday. We prepared the pork and started cooking it that night and by Saturday night we were in Kalua Pork heaven! Here's the recipe we found: [....] (I don't know why Fuji Mama is the whitest person I've ever seen?!)
5,Delicious,"These morsels are perfect for baking... especially if you cannot have ""real"" chocolate due to allergies or other sensitivities. They taste great in cookies with oatmeal and dried cranberries."
5,Great buy!,My son takes a snack everyday and he loves the Kind Protein Bars.  They arrived very fast and a great deal!
1,The bags were damaged with holes and stains.,"The chips were great...for the first few bags. However, after the first bag or two, I noticed that the remaining bags were damaged. There were holes in each bag and black, sticky stains on the outside. Other reviewers who bought around the same time that I did are now claiming that they found rodent holes in their bags of chips.<br /><br />The chips came in a sealed Kettle box, so it's hard to say who screwed up. But someone somewhere screwed up. These chips were a health hazard before the holes in the bag. Now? It's like a game of roulette."
5,We have to call them Gs,"Our dog knows the word Greenies so we have to call them Gs, but never to her! We don't want to have to come up with another name. These are an absolute must. The dog must have them. That is all there is to it. The fact that we could find the ""lite"" greenies was an added bonus."
2,Akin to squeezable koolaid..,I have a hard time imagining a big market for this product. While it sounded good in theory it has too many negatives to it to be worthwhile.My first complaint is that it tastes like weak koolaid plus leaves an aftertaste that is not thirst quenching at all. Also the size of the bottle combined with the fact that it needs to be refrigerated makes it inconvenient for on-the-go.
5,I love tonkatsu!,"I found the sauce when I lived in Japan, and then, sadly, went approximately 4 years without it before coming across it in an Asian grocery store.  My mom always marinated steaks and chicken breasts in the sauce, and they were also so juicy and tasty.  I recommend this sauce to anyone who wants something just a tad different from their regular steak sauce.  You won't regret it."
5,My husband loves these!!,"I bought these fat free wheat free fig bars for my son, and both he and my husband love them.  I was impressed by the flavor and these fig bars are moist.  These were better than my expectations!"
4,Before he developed his crush on Johnny Depp...,"... this little gem was the beginning of a brief ""thing"" for Michael Keaton. And, man- does it deliver the laughs in a big way.<br />Nice presentation on BluRay at a great price."
3,A Great Bargain Hazlenut....But Weak,"I admit I have been addicted to hazelnut coffee for years, especially for the first pot in the morning. Even when I find something I like I can't help but experiment.  I think I am like many coffee lovers, always looking for that perfect blend, no matter how much we may like what we already have.  I drank Harmony hazelnut for years.  It is a staple item at one of those warehouse markets here where I do my regular shopping.  There is no question that Harmony is a bargain for flavored coffee.  I think you would be hard pressed to find a better deal on a hazelnut blend anywhere, even here on Amazon.  And there is also no doubt that it is a decent coffee, I drank it for years as already stated.  However as also before mentioned, when it comes to the perfect cup of coffee, I just can't help but wonder if the grass over the next rise is really greener.  I one day picked up another Hazelnut and realized then that though the Harmony is a decent blend and great bargain, there is no doubt in mind that is it most definitely a weaker blend. Even compared to other regular supermarket brands. And I found it very ""hollow"" tasting in comparison to other fancier hazelnuts on Amazon that do not cost that much more, (like Melitta's Hazelnut Creme, much stronger).  I have since parted ways with Harmony and gone for the stronger brew in a variety of blends that cost a little bit more.  In conclusion, I recommend Harmony if you are a hazelnut junkie and have limited funds to support the habit.  However if you are someone that like me is on a never ending quest for the cup of java to die for, I suggest you skip this bargain and keep looking.  You may not settle on what I have, but it's my feeling you will come to the same conclusion that the Harmony is a good deal, but a weak competitor at best...<br /><br />PS:  A recent review of this blend has shown that it is no longer the great bargain it used to be.  Not only is Harmony not eligible for free shipping, but it is also not available for the subscription service where one gets a discount, and free shipping.  I have since lowered the rating of this coffee to 3 stars.  No longer the bargain it once was, but still just as weak..."
5,"Great ""Pasta"" - I could even sneak it past my husband!","I just made my first dish with Miracle Noodles and I love them!  By themselves, they truly taste like nothing.  But, all I did was add a touch of butter, a bit of garlic powder, and few chunks of chicken breast and I had a pasta meal fit for queen!  YUM! I can only imagine the possibilities.<br /><br />I gave some to my hubby to eat, and he wanted more. He loves angel hair pasta and didn't even notice that these were a ""different"" kind of noodle.  It is filling, warm, and takes on the taste of what ever it is served with.  It has that satisfying toothiness of pasta that is cooked just barely beyond al dente.<br /><br />There are NO calories according to the nutritional informational.  So, for me, this is all the taste with none of the guilt.  We can have our pasta and eat it too.... just like that in that Meryl Streep movie, Defending Your Life.<br /><br />Cons:  The fishy smell before it is rinsed and cooked<br />  Preparation is a bit more intensive than regular pasta, but not bad<br />  Small packages (two very small pasta servings per package<br /><br />Pros:  Taste<br />  Texture<br />  no calories<br />  versatile<br />  can easily be passed off as ""normal"" pasta<br />  filling<br /><br />Overall.... this is a BIG FIVE!  I will buy it again.<br /><br /><a href=""http://www.amazon.com/gp/product/B004CLCEDE"">Miracle Noodle Shirataki Angel Hair Pasta, 7-Ounce Packages (Pack of 6)</a>"
3,"Not a lot of candy, some items easy to find elsewhere","About 30 small pieces of candy, lots of shredded brown paper, and a nice box.  Half the stuff I'd have trouble finding.  The cool factor here is ""This is the candy that mom and dad had when we were kids"".  I was a little hesitant about the candy cigarettes, pipes and cigars, but that was part of the era."
5,Tasty,One of my favorites from Grove Square! A great Cappuccino that has a wonderful flavor and need no creamer to make it taste better. I love this one and the other ones from Grove Square!
5,Tazo Tea,"The tea is delicious...has a natural sweetness to it and has no caffeine. It is a bit pricey, but cheaper than buying it at Starbucks drive up."
5,Kibble size - 8 lb. vs. 16 lb. bag,"UPDATE: No word on the kibble size, however the 16 lb. size lasted about 6 - 7 weeks for my Westie. Then the remaining 1/4 bag turned moldy. If you have a small dog, stay with the 8 lb. bag!<br /><br />My 11 yr. old Westie loves this food. His breed suffers from skin issues. We see improvement with his skin, he's more lively - and he's definitely more enthusiastic about eating!<br /><br />I bought the 8 lb. bag to try it. This time I bought the 16 lb. bag. There's a big difference in the kibble size with the 16 lb. being not quite double - but significantly bigger. Westies are not big dogs. He's doing okay with it. I've contacted Laughing Dog to see if that's normal. I didn't see a difference in the product description or on the bag - unless I'm missing something.<br /><br />Anyway - great product! I feel better knowing he's getting good natural ingredients and extra nutrition."
5,perfect for everything,"These tomatoes are perfect for everything. I use them for pasta salads, soup base, pasta sauces, and the list goes on and on. You can put them on top of toasted bread for bruschetta if you want. I have tossed them in scrambled eggs and thrown cheese on top for a quick and yummy omelet. Highly recommend these tomatoes. They are diced and seasoned perfectly. Use subscribe and save for the best deal."
2,Just expensive hot chocolate mix,"The drink was tasty, but this is just expensive hot chocolate mix. Overpriced for what it is."
5,"New favorite munchies, found!","+Really really tasty<br />+Much healthier than almost every other potato chip<br />+A variety of flavors, consider this a huge sampler<br /><br />-Sea Salt & Vinegar is crazy sour. Personally, I think they overdid it on the vinegar.<br />-It's hard to stop at one serving, but I take this as a sign of a good snack :P"
5,Ahhhhhhh,"This stuff WORKS for not only relaxing the muscles, but majorly helps PMS, Menopause symptoms, Hubby and I take it several nights a week. It helps us to sleep easier and deeper, too.<br /> It is a lot better than the Natural Calm without Calcium."
5,not for the faint of palate,"I bought this on a whim and have been keeping it in my desk drawer at work in case I can't get out for lunch. WOW! I should have tried it sooner. It's awesome. Tender chick peas, potato chunks and a spicy, spicy curry gravy. YUUUUM."
5,Excellent tea!,"This tea tastes almost as good as the tea you would get at an Indian restaurant. It's much better than getting a teabag and making it the English way, with a lot of water and a bit of milk. This is very creamy and tasty. My only criticism is that there aren't enough sachets in the box. Only 10. Since the directions say that you use one sachet for 100ml of water (approximately half a cup), it's not enough for a good cup of tea, so I use two. That means that one box is only good enough for five cups of tea. But it's a delicious after-dinner drink! I would buy this again if there were more sachets in a box."
5,"High Quality, Fair Price",The title of my listing days it all.  Comperable to a product I've purchased locally and some savings to boot.  Would purchase again.
5,Great gift idea,"For the guy who love to saucethings up, here's the perfect gift and he will love the wooden crate packaging! Great idea and perfect gift :)"
1,useless!,"similar to the reviewer before me, i sprayed this all over our SMART CAT BOOTSIES COMBINATION SCRATCHER (see my review of that!) + zip, ziltch, nada! i tried spraying it on a number of their toys also + u would've thought it was made of water for all the response its gotten. they respond just fine to any brand of regular catnip but it wont be Catit catnip from Hagen. burn me once + lose me as a customer for life. WHAT A TOTAL RIP OFF!"
